week,retailer,region,product_id,pack_size_oz,units_sold,dollar_sales,base_price,promo_flag
2024-01-07,Walmart,Northeast,1,64,302,902.98,2.99,N
2024-01-07,Walmart,Northeast,2,64,470,1405.3,2.99,N
2024-01-07,Walmart,Northeast,3,128,900,4491.0,4.99,N
2024-01-07,Walmart,Northeast,4,128,321,1361.52,4.99,Y
2024-01-07,Walmart,South,1,64,530,1584.7,2.99,N
2024-01-07,Walmart,South,2,64,572,1710.28,2.99,N
2024-01-07,Walmart,South,3,128,863,4306.37,4.99,N
2024-01-07,Walmart,South,4,128,508,2534.92,4.99,N
2024-01-07,Walmart,Midwest,1,64,691,2066.09,2.99,N
2024-01-07,Walmart,Midwest,2,64,585,1486.78,2.99,Y
2024-01-07,Walmart,Midwest,3,128,476,2375.24,4.99,N
2024-01-07,Walmart,Midwest,4,128,513,2559.87,4.99,N
2024-01-07,Walmart,West,1,64,947,2406.8,2.99,Y
2024-01-07,Walmart,West,2,64,674,2015.26,2.99,N
2024-01-07,Walmart,West,3,128,881,3736.76,4.99,Y
2024-01-07,Walmart,West,4,128,899,4486.01,4.99,N
2024-01-07,Target,Northeast,1,64,389,988.64,2.99,Y
2024-01-07,Target,Northeast,2,64,1157,2940.52,2.99,Y
2024-01-07,Target,Northeast,3,128,766,3822.34,4.99,N
2024-01-07,Target,Northeast,4,128,704,2986.02,4.99,Y
2024-01-07,Target,South,1,64,1018,3043.82,2.99,N
2024-01-07,Target,South,2,64,1040,2643.16,2.99,Y
2024-01-07,Target,South,3,128,587,2929.13,4.99,N
2024-01-07,Target,South,4,128,213,1062.87,4.99,N
2024-01-07,Target,Midwest,1,64,976,2480.5,2.99,Y
2024-01-07,Target,Midwest,2,64,1097,3280.03,2.99,N
2024-01-07,Target,Midwest,3,128,566,2824.34,4.99,N
2024-01-07,Target,Midwest,4,128,627,3128.73,4.99,N
2024-01-07,Target,West,1,64,1142,2902.39,2.99,Y
2024-01-07,Target,West,2,64,280,711.62,2.99,Y
2024-01-07,Target,West,3,128,1071,5344.29,4.99,N
2024-01-07,Target,West,4,128,589,2498.24,4.99,Y
2024-01-07,Kroger,Northeast,1,64,971,2467.8,2.99,Y
2024-01-07,Kroger,Northeast,2,64,902,2696.98,2.99,N
2024-01-07,Kroger,Northeast,3,128,755,3767.45,4.99,N
2024-01-07,Kroger,Northeast,4,128,1157,5773.43,4.99,N
2024-01-07,Kroger,South,1,64,1062,3175.38,2.99,N
2024-01-07,Kroger,South,2,64,655,1958.45,2.99,N
2024-01-07,Kroger,South,3,128,451,1912.92,4.99,Y
2024-01-07,Kroger,South,4,128,495,2470.05,4.99,N
2024-01-07,Kroger,Midwest,1,64,948,2409.34,2.99,Y
2024-01-07,Kroger,Midwest,2,64,252,753.48,2.99,N
2024-01-07,Kroger,Midwest,3,128,416,1764.46,4.99,Y
2024-01-07,Kroger,Midwest,4,128,579,2455.83,4.99,Y
2024-01-07,Kroger,West,1,64,356,1064.44,2.99,N
2024-01-07,Kroger,West,2,64,264,670.96,2.99,Y
2024-01-07,Kroger,West,3,128,720,3592.8,4.99,N
2024-01-07,Kroger,West,4,128,847,3592.55,4.99,Y
2024-01-07,Publix,Northeast,1,64,338,859.03,2.99,Y
2024-01-07,Publix,Northeast,2,64,591,1767.09,2.99,N
2024-01-07,Publix,Northeast,3,128,488,2435.12,4.99,N
